Cause of death,Cause of death Code,County,County Code,Deaths,Population,Crude Rate
"Colon, unspecified - Malignant neoplasms",C18.9,"Dallas County, Alabama",1047,13,41131,31.60633099
"Colon, unspecified - Malignant neoplasms",C18.9,"DeKalb County, Alabama",1049,16,71130,22.49402502
"Colon, unspecified - Malignant neoplasms",C18.9,"Elmore County, Alabama",1051,11,81468,13.50223401
"Colon, unspecified - Malignant neoplasms",C18.9,"Etowah County, Alabama",1055,27,103057,26.19909371
"Colon, unspecified - Malignant neoplasms",C18.9,"Houston County, Alabama",1069,16,104173,15.35906617
"Colon, unspecified - Malignant neoplasms",C18.9,"Jackson County, Alabama",1071,12,52419,22.89246266
"Colon, unspecified - Malignant neoplasms",C18.9,"Jefferson County, Alabama",1073,92,660367,13.9316471
"Colon, unspecified - Malignant neoplasms",C18.9,"Lauderdale County, Alabama",1077,12,92596,12.95952309
"Colon, unspecified - Malignant neoplasms",C18.9,"Lawrence County, Alabama",1079,10,33115,30.19779556
"Colon, unspecified - Malignant neoplasms",C18.9,"Lee County, Alabama",1081,22,156993,14.01336365
"Colon, unspecified - Malignant neoplasms",C18.9,"Limestone County, Alabama",1083,13,91663,14.18238548
"Colon, unspecified - Malignant neoplasms",C18.9,"Madison County, Alabama",1089,43,353089,12.17823268
"Colon, unspecified - Malignant neoplasms",C18.9,"Marshall County, Alabama",1095,18,94725,19.0023753
"Colon, unspecified - Malignant neoplasms",C18.9,"Mobile County, Alabama",1097,73,415395,17.57363473
"Colon, unspecified - Malignant neoplasms",C18.9,"Montgomery County, Alabama",1101,34,226519,15.00977843
"Colon, unspecified - Malignant neoplasms",C18.9,"Morgan County, Alabama",1103,17,119565,14.21820767
"Colon, unspecified - Malignant neoplasms",C18.9,"Russell County, Alabama",1113,11,59660,18.43781428
"Colon, unspecified - Malignant neoplasms",C18.9,"Shelby County, Alabama",1117,22,208713,10.54079046
"Colon, unspecified - Malignant neoplasms",C18.9,"Talladega County, Alabama",1121,14,80862,17.3134476
"Colon, unspecified - Malignant neoplasms",C18.9,"Tuscaloosa County, Alabama",1125,18,203976,8.824567596
"Colon, unspecified - Malignant neoplasms",C18.9,"Walker County, Alabama",1127,13,65294,19.90994578
Liver cell carcinoma - Malignant neoplasms,C22.0,"Jefferson County, Alabama",1073,11,660367,1.665740414
Liver cell carcinoma - Malignant neoplasms,C22.0,"Mobile County, Alabama",1097,19,415395,4.573959725
"Liver, unspecified - Malignant neoplasms",C22.9,"Baldwin County, Alabama",1003,12,203709,5.890755931
"Liver, unspecified - Malignant neoplasms",C22.9,"Cullman County, Alabama",1043,10,82005,12.19437839
"Liver, unspecified - Malignant neoplasms",C22.9,"Jefferson County, Alabama",1073,33,660367,4.997221242
"Liver, unspecified - Malignant neoplasms",C22.9,"Marshall County, Alabama",1095,11,94725,11.61256268
"Liver, unspecified - Malignant neoplasms",C22.9,"Mobile County, Alabama",1097,28,415395,6.740572226
"Liver, unspecified - Malignant neoplasms",C22.9,"Montgomery County, Alabama",1101,10,226519,4.414640714
"Liver, unspecified - Malignant neoplasms",C22.9,"Walker County, Alabama",1127,10,65294,15.31534291
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Baldwin County, Alabama",1003,28,203709,13.74509717
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Calhoun County, Alabama",1015,19,115620,16.43314305
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Chambers County, Alabama",1017,10,34123,29.30574686
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Cullman County, Alabama",1043,14,82005,17.07212975
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Etowah County, Alabama",1055,20,103057,19.40673608
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Houston County, Alabama",1069,24,104173,23.03859925
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Jefferson County, Alabama",1073,105,660367,15.90024941
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Lee County, Alabama",1081,13,156993,8.280623977
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Limestone County, Alabama",1083,13,91663,14.18238548
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Madison County, Alabama",1089,45,353089,12.74466211
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Mobile County, Alabama",1097,49,415395,11.7960014
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Montgomery County, Alabama",1101,40,226519,17.65856286
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Morgan County, Alabama",1103,10,119565,8.36365157
"Pancreas, unspecified - Malignant neoplasms",C25.9,"St. Clair County, Alabama",1115,18,87074,20.67207203
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Tuscaloosa County, Alabama",1125,28,203976,13.72710515
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Walker County, Alabama",1127,10,65294,15.31534291
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Autauga County, Alabama",1001,41,55347,74.07808915
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Baldwin County, Alabama",1003,154,203709,75.59803445
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Barbour County, Alabama",1005,20,26489,75.503039
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Bibb County, Alabama",1007,11,22583,48.70920604
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Blount County, Alabama",1009,41,57673,71.09045827
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Calhoun County, Alabama",1015,71,115620,61.40806089
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Chambers County, Alabama",1017,21,34123,61.5420684
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Cherokee County, Alabama",1019,18,25859,69.60826018
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Chilton County, Alabama",1021,30,43943,68.2702592
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Clarke County, Alabama",1025,16,24675,64.84295846
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Clay County, Alabama",1027,13,13555,95.9055699
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Coffee County, Alabama",1031,35,51211,68.34469157
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Colbert County, Alabama",1033,36,54354,66.23247599
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Coosa County, Alabama",1037,13,10724,121.2234241
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Covington County, Alabama",1039,42,37835,111.0083256
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Cullman County, Alabama",1043,63,82005,76.82458387
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Dale County, Alabama",1045,32,49565,64.56168667
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Dallas County, Alabama",1047,30,41131,72.9376869
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"DeKalb County, Alabama",1049,48,71130,67.48207507
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Elmore County, Alabama",1051,43,81468,52.78146021
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Escambia County, Alabama",1053,22,37789,58.21799995
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Etowah County, Alabama",1055,77,103057,74.7159339
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Fayette County, Alabama",1057,11,16759,65.63637449
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Franklin County, Alabama",1059,17,31696,53.63452802
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Geneva County, Alabama",1061,18,26777,67.22186951
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Henry County, Alabama",1067,18,17221,104.5235468
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Houston County, Alabama",1069,63,104173,60.47632304
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Jackson County, Alabama",1071,47,52419,89.66214541
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Jefferson County, Alabama",1073,355,660367,53.75798609
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lamar County, Alabama",1075,13,13886,93.61947285
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lauderdale County, Alabama",1077,58,92596,62.63769493
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lawrence County, Alabama",1079,28,33115,84.55382757
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lee County, Alabama",1081,58,156993,36.94432236
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Limestone County, Alabama",1083,52,91663,56.72954191
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Macon County, Alabama",1087,21,19105,109.9188694
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Madison County, Alabama",1089,184,353089,52.1115073
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Marengo County, Alabama",1091,16,20028,79.88815658
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Marion County, Alabama",1093,25,30168,82.86926545
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Marshall County, Alabama",1095,67,94725,70.73106361
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Mobile County, Alabama",1097,234,415395,56.33192504
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Monroe County, Alabama",1099,24,21673,110.7368615
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Montgomery County, Alabama",1101,128,226519,56.50740115
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Morgan County, Alabama",1103,62,119565,51.85463974
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Pickens County, Alabama",1107,14,20864,67.10122699
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Pike County, Alabama",1109,15,33046,45.39127277
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Randolph County, Alabama",1111,13,22696,57.27881565
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Russell County, Alabama",1113,28,59660,46.93261817
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"St. Clair County, Alabama",1115,56,87074,64.31311298
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Shelby County, Alabama",1117,68,208713,32.58062507
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Talladega County, Alabama",1121,54,80862,66.78044075
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Tallapoosa County, Alabama",1123,29,40844,71.00186074
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Tuscaloosa County, Alabama",1125,100,203976,49.02537553
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Walker County, Alabama",1127,88,65294,134.7750176
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Washington County, Alabama",1129,13,16804,77.36253273
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Winston County, Alabama",1133,18,23877,75.38635507
"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,"Jefferson County, Alabama",1073,12,660367,1.817171361
"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,"Mobile County, Alabama",1097,22,415395,5.296163892
"Breast, unspecified - Malignant neoplasms",C50.9,"Baldwin County, Alabama",1003,33,203709,16.19957881
"Breast, unspecified - Malignant neoplasms",C50.9,"Calhoun County, Alabama",1015,18,115620,15.56824079
"Breast, unspecified - Malignant neoplasms",C50.9,"Cullman County, Alabama",1043,19,82005,23.16931894
"Breast, unspecified - Malignant neoplasms",C50.9,"Dallas County, Alabama",1047,10,41131,24.3125623
"Breast, unspecified - Malignant neoplasms",C50.9,"Elmore County, Alabama",1051,12,81468,14.72970982
"Breast, unspecified - Malignant neoplasms",C50.9,"Etowah County, Alabama",1055,17,103057,16.49572567
"Breast, unspecified - Malignant neoplasms",C50.9,"Houston County, Alabama",1069,16,104173,15.35906617
"Breast, unspecified - Malignant neoplasms",C50.9,"Jackson County, Alabama",1071,12,52419,22.89246266
"Breast, unspecified - Malignant neoplasms",C50.9,"Jefferson County, Alabama",1073,136,660367,20.59460876
"Breast, unspecified - Malignant neoplasms",C50.9,"Lauderdale County, Alabama",1077,11,92596,11.87956283
"Breast, unspecified - Malignant neoplasms",C50.9,"Lee County, Alabama",1081,21,156993,13.37639258
"Breast, unspecified - Malignant neoplasms",C50.9,"Madison County, Alabama",1089,39,353089,11.04537383
"Breast, unspecified - Malignant neoplasms",C50.9,"Mobile County, Alabama",1097,57,415395,13.72187918
"Breast, unspecified - Malignant neoplasms",C50.9,"Montgomery County, Alabama",1101,37,226519,16.33417064
"Breast, unspecified - Malignant neoplasms",C50.9,"Morgan County, Alabama",1103,24,119565,20.07276377
"Breast, unspecified - Malignant neoplasms",C50.9,"Russell County, Alabama",1113,12,59660,20.11397922
"Breast, unspecified - Malignant neoplasms",C50.9,"Shelby County, Alabama",1117,22,208713,10.54079046
"Breast, unspecified - Malignant neoplasms",C50.9,"Talladega County, Alabama",1121,14,80862,17.3134476
"Breast, unspecified - Malignant neoplasms",C50.9,"Tuscaloosa County, Alabama",1125,32,203976,15.68812017
"Breast, unspecified - Malignant neoplasms",C50.9,"Walker County, Alabama",1127,10,65294,15.31534291
"Cervix uteri, unspecified - Malignant neoplasms",C53.9,"Jefferson County, Alabama",1073,22,660367,3.331480828
Endometrium - Malignant neoplasms,C54.1,"Jefferson County, Alabama",1073,10,660367,1.514309467
Malignant neoplasm of ovary,C56,"Baldwin County, Alabama",1003,12,203709,5.890755931
Malignant neoplasm of ovary,C56,"Jefferson County, Alabama",1073,26,660367,3.937204615
Malignant neoplasm of ovary,C56,"Madison County, Alabama",1089,13,353089,3.681791276
Malignant neoplasm of ovary,C56,"Mobile County, Alabama",1097,21,415395,5.05542917
Malignant neoplasm of ovary,C56,"Montgomery County, Alabama",1101,10,226519,4.414640714
Malignant neoplasm of ovary,C56,"Shelby County, Alabama",1117,11,208713,5.270395232
Malignant neoplasm of prostate,C61,"Baldwin County, Alabama",1003,25,203709,12.27240819
Malignant neoplasm of prostate,C61,"Calhoun County, Alabama",1015,13,115620,11.24372946
Malignant neoplasm of prostate,C61,"Etowah County, Alabama",1055,11,103057,10.67370484
Malignant neoplasm of prostate,C61,"Houston County, Alabama",1069,10,104173,9.599416355
Malignant neoplasm of prostate,C61,"Jefferson County, Alabama",1073,72,660367,10.90302816
Malignant neoplasm of prostate,C61,"Lee County, Alabama",1081,16,156993,10.1915372
Malignant neoplasm of prostate,C61,"Madison County, Alabama",1089,28,353089,7.93001198
Malignant neoplasm of prostate,C61,"Marshall County, Alabama",1095,10,94725,10.55687516
Malignant neoplasm of prostate,C61,"Mobile County, Alabama",1097,45,415395,10.83306251
Malignant neoplasm of prostate,C61,"Montgomery County, Alabama",1101,21,226519,9.2707455
Malignant neoplasm of prostate,C61,"Morgan County, Alabama",1103,19,119565,15.89093798
Malignant neoplasm of prostate,C61,"Russell County, Alabama",1113,15,59660,25.14247402
Malignant neoplasm of prostate,C61,"Shelby County, Alabama",1117,10,208713,4.791268392
Malignant neoplasm of prostate,C61,"Tuscaloosa County, Alabama",1125,20,203976,9.805075107
"Malignant neoplasm of kidney, except renal pelvis",C64,"Baldwin County, Alabama",1003,11,203709,5.399859604
"Malignant neoplasm of kidney, except renal pelvis",C64,"Jefferson County, Alabama",1073,28,660367,4.240066508
"Malignant neoplasm of kidney, except renal pelvis",C64,"Lee County, Alabama",1081,12,156993,7.643652902
"Malignant neoplasm of kidney, except renal pelvis",C64,"Madison County, Alabama",1089,13,353089,3.681791276
"Malignant neoplasm of kidney, except renal pelvis",C64,"Mobile County, Alabama",1097,19,415395,4.573959725
"Malignant neoplasm of kidney, except renal pelvis",C64,"Montgomery County, Alabama",1101,12,226519,5.297568857
"Bladder, unspecified - Malignant neoplasms",C67.9,"Etowah County, Alabama",1055,10,103057,9.703368039
"Bladder, unspecified - Malignant neoplasms",C67.9,"Jefferson County, Alabama",1073,35,660367,5.300083136
"Bladder, unspecified - Malignant neoplasms",C67.9,"Madison County, Alabama",1089,19,353089,5.381079558
"Bladder, unspecified - Malignant neoplasms",C67.9,"Mobile County, Alabama",1097,23,415395,5.536898615
"Bladder, unspecified - Malignant neoplasms",C67.9,"Montgomery County, Alabama",1101,13,226519,5.739032929
"Brain, unspecified - Malignant neoplasms",C71.9,"Etowah County, Alabama",1055,11,103057,10.67370484
"Brain, unspecified - Malignant neoplasms",C71.9,"Jefferson County, Alabama",1073,46,660367,6.96582355
"Brain, unspecified - Malignant neoplasms",C71.9,"Madison County, Alabama",1089,16,353089,4.531435417
"Brain, unspecified - Malignant neoplasms",C71.9,"Mobile County, Alabama",1097,17,415395,4.09249028
"Brain, unspecified - Malignant neoplasms",C71.9,"Montgomery County, Alabama",1101,14,226519,6.180497
"Brain, unspecified - Malignant neoplasms",C71.9,"Shelby County, Alabama",1117,12,208713,5.749522071
Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,"Jefferson County, Alabama",1073,14,660367,2.120033254
Malignant neoplasm without specification of site,C80,"Autauga County, Alabama",1001,12,55347,21.68139195
Malignant neoplasm without specification of site,C80,"Baldwin County, Alabama",1003,13,203709,6.381652259
Malignant neoplasm without specification of site,C80,"Calhoun County, Alabama",1015,17,115620,14.70333852
Malignant neoplasm without specification of site,C80,"Cullman County, Alabama",1043,12,82005,14.63325407
Malignant neoplasm without specification of site,C80,"DeKalb County, Alabama",1049,11,71130,15.4646422
Malignant neoplasm without specification of site,C80,"Etowah County, Alabama",1055,10,103057,9.703368039
Malignant neoplasm without specification of site,C80,"Houston County, Alabama",1069,11,104173,10.55935799
Malignant neoplasm without specification of site,C80,"Jefferson County, Alabama",1073,68,660367,10.29730438
Malignant neoplasm without specification of site,C80,"Lauderdale County, Alabama",1077,12,92596,12.95952309
Malignant neoplasm without specification of site,C80,"Lee County, Alabama",1081,11,156993,7.006681827
Malignant neoplasm without specification of site,C80,"Madison County, Alabama",1089,28,353089,7.93001198
Malignant neoplasm without specification of site,C80,"Mobile County, Alabama",1097,51,415395,12.27747084
Malignant neoplasm without specification of site,C80,"Montgomery County, Alabama",1101,15,226519,6.621961072
Malignant neoplasm without specification of site,C80,"Morgan County, Alabama",1103,10,119565,8.36365157
Malignant neoplasm without specification of site,C80,"St. Clair County, Alabama",1115,10,87074,11.48448446
Malignant neoplasm without specification of site,C80,"Shelby County, Alabama",1117,11,208713,5.270395232
Malignant neoplasm without specification of site,C80,"Talladega County, Alabama",1121,13,80862,16.07677277
Malignant neoplasm without specification of site,C80,"Tuscaloosa County, Alabama",1125,11,203976,5.392791309
Malignant neoplasm without specification of site,C80,"Walker County, Alabama",1127,15,65294,22.97301437
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,"Baldwin County, Alabama",1003,10,203709,4.908963276
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,"Jefferson County, Alabama",1073,21,660367,3.180049881
"Non-Hodgkin's lymphoma, unspecified type - Malignant neoplasms",C85.9,"Madison County, Alabama",1089,14,353089,3.96500599
Multiple myeloma - Malignant neoplasms,C90.0,"Cullman County, Alabama",1043,10,82005,12.19437839
Multiple myeloma - Malignant neoplasms,C90.0,"Jefferson County, Alabama",1073,29,660367,4.391497455
Multiple myeloma - Malignant neoplasms,C90.0,"Madison County, Alabama",1089,12,353089,3.398576563
Multiple myeloma - Malignant neoplasms,C90.0,"Mobile County, Alabama",1097,18,415395,4.333225003
Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,"Jefferson County, Alabama",1073,10,660367,1.514309467
Acute myeloid leukaemia - Malignant neoplasms,C92.0,"Jefferson County, Alabama",1073,20,660367,3.028618935
Acute myeloid leukaemia - Malignant neoplasms,C92.0,"Mobile County, Alabama",1097,17,415395,4.09249028
"Leukaemia, unspecified - Malignant neoplasms",C95.9,"Jefferson County, Alabama",1073,10,660367,1.514309467
"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,"Jefferson County, Alabama",1073,16,660367,2.422895148
"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,"Mobile County, Alabama",1097,11,415395,2.648081946
"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,"Jefferson County, Alabama",1073,22,660367,3.331480828
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,"Jefferson County, Alabama",1073,32,660367,4.845790295
"Non-insulin-dependent diabetes mellitus, without complications",E11.9,"Mobile County, Alabama",1097,17,415395,4.09249028
"Unspecified diabetes mellitus, with ketoacidosis",E14.1,"Jefferson County, Alabama",1073,11,660367,1.665740414
"Unspecified diabetes mellitus, with renal complications",E14.2,"Jefferson County, Alabama",1073,26,660367,3.937204615
"Unspecified diabetes mellitus, with renal complications",E14.2,"Madison County, Alabama",1089,16,353089,4.531435417
"Unspecified diabetes mellitus, with renal complications",E14.2,"Mobile County, Alabama",1097,16,415395,3.851755558
"Unspecified diabetes mellitus, with renal complications",E14.2,"Montgomery County, Alabama",1101,14,226519,6.180497
"Unspecified diabetes mellitus, with renal complications",E14.2,"Russell County, Alabama",1113,13,59660,21.79014415
"Unspecified diabetes mellitus, without complications",E14.9,"Autauga County, Alabama",1001,14,55347,25.29495727
"Unspecified diabetes mellitus, without complications",E14.9,"Baldwin County, Alabama",1003,30,203709,14.72688983
"Unspecified diabetes mellitus, without complications",E14.9,"Butler County, Alabama",1013,11,20154,54.57973603
"Unspecified diabetes mellitus, without complications",E14.9,"Calhoun County, Alabama",1015,13,115620,11.24372946
"Unspecified diabetes mellitus, without complications",E14.9,"Chambers County, Alabama",1017,12,34123,35.16689623
"Unspecified diabetes mellitus, without complications",E14.9,"Conecuh County, Alabama",1035,13,12672,102.5883838
"Unspecified diabetes mellitus, without complications",E14.9,"Cullman County, Alabama",1043,26,82005,31.70538382
"Unspecified diabetes mellitus, without complications",E14.9,"Dale County, Alabama",1045,13,49565,26.22818521
"Unspecified diabetes mellitus, without complications",E14.9,"Escambia County, Alabama",1053,10,37789,26.46272725
"Unspecified diabetes mellitus, without complications",E14.9,"Houston County, Alabama",1069,12,104173,11.51929963
"Unspecified diabetes mellitus, without complications",E14.9,"Jefferson County, Alabama",1073,52,660367,7.87440923
"Unspecified diabetes mellitus, without complications",E14.9,"Lee County, Alabama",1081,15,156993,9.554566127
"Unspecified diabetes mellitus, without complications",E14.9,"Limestone County, Alabama",1083,11,91663,12.00048002
"Unspecified diabetes mellitus, without complications",E14.9,"Madison County, Alabama",1089,48,353089,13.59430625
"Unspecified diabetes mellitus, without complications",E14.9,"Mobile County, Alabama",1097,48,415395,11.55526667
"Unspecified diabetes mellitus, without complications",E14.9,"Montgomery County, Alabama",1101,69,226519,30.46102093
"Unspecified diabetes mellitus, without complications",E14.9,"Morgan County, Alabama",1103,10,119565,8.36365157
"Unspecified diabetes mellitus, without complications",E14.9,"Russell County, Alabama",1113,33,59660,55.31344284
"Unspecified diabetes mellitus, without complications",E14.9,"Shelby County, Alabama",1117,12,208713,5.749522071
"Unspecified diabetes mellitus, without complications",E14.9,"Talladega County, Alabama",1121,19,80862,23.49682175
"Unspecified diabetes mellitus, without complications",E14.9,"Tuscaloosa County, Alabama",1125,13,203976,6.373298819
