Cause of death,Cause of death Code,County,County Code,Deaths,Population,Crude Rate
"Colon, unspecified - Malignant neoplasms",C18.9,"Bolivar County, Mississippi",28011,13,33322,39.01326451
"Colon, unspecified - Malignant neoplasms",C18.9,"DeSoto County, Mississippi",28033,19,173323,10.96219198
"Colon, unspecified - Malignant neoplasms",C18.9,"Harrison County, Mississippi",28047,25,201410,12.41249193
"Colon, unspecified - Malignant neoplasms",C18.9,"Hinds County, Mississippi",28049,35,242891,14.40975582
"Colon, unspecified - Malignant neoplasms",C18.9,"Jackson County, Mississippi",28059,23,141425,16.26303695
"Colon, unspecified - Malignant neoplasms",C18.9,"Lauderdale County, Mississippi",28075,22,78524,28.01691203
"Colon, unspecified - Malignant neoplasms",C18.9,"Lee County, Mississippi",28081,10,85300,11.72332943
"Colon, unspecified - Malignant neoplasms",C18.9,"Madison County, Mississippi",28089,18,103465,17.39718745
"Colon, unspecified - Malignant neoplasms",C18.9,"Pearl River County, Mississippi",28109,13,55191,23.55456506
"Colon, unspecified - Malignant neoplasms",C18.9,"Pike County, Mississippi",28113,10,39956,25.02753028
"Colon, unspecified - Malignant neoplasms",C18.9,"Rankin County, Mississippi",28121,18,149039,12.07737572
"Colon, unspecified - Malignant neoplasms",C18.9,"Sunflower County, Mississippi",28133,10,27005,37.0301796
"Liver, unspecified - Malignant neoplasms",C22.9,"Harrison County, Mississippi",28047,14,201410,6.950995482
"Liver, unspecified - Malignant neoplasms",C22.9,"Hinds County, Mississippi",28049,11,242891,4.528780399
"Liver, unspecified - Malignant neoplasms",C22.9,"Rankin County, Mississippi",28121,10,149039,6.709653178
"Pancreas, unspecified - Malignant neoplasms",C25.9,"DeSoto County, Mississippi",28033,22,173323,12.69306439
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Harrison County, Mississippi",28047,23,201410,11.41949258
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Hinds County, Mississippi",28049,37,242891,15.23317043
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Jackson County, Mississippi",28059,26,141425,18.38430263
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Jones County, Mississippi",28067,12,68215,17.59143883
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Lauderdale County, Mississippi",28075,17,78524,21.64943202
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Lee County, Mississippi",28081,14,85300,16.4126612
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Madison County, Mississippi",28089,22,103465,21.26322911
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Pearl River County, Mississippi",28109,13,55191,23.55456506
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Pike County, Mississippi",28113,11,39956,27.53028331
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Rankin County, Mississippi",28121,15,149039,10.06447977
"Pancreas, unspecified - Malignant neoplasms",C25.9,"Washington County, Mississippi",28151,14,48130,29.08788697
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Adams County, Mississippi",28001,26,31254,83.18935176
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Alcorn County, Mississippi",28003,28,37388,74.89033915
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Amite County, Mississippi",28005,12,12574,95.43502465
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Attala County, Mississippi",28007,18,19043,94.52292181
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Bolivar County, Mississippi",28011,14,33322,42.01428486
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Calhoun County, Mississippi",28013,11,14717,74.74349392
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Clarke County, Mississippi",28023,14,16006,87.4671998
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Clay County, Mississippi",28025,12,20048,59.85634477
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Copiah County, Mississippi",28029,22,28773,76.46057067
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Covington County, Mississippi",28031,10,19543,51.1692166
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"DeSoto County, Mississippi",28033,102,173323,58.84966219
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Forrest County, Mississippi",28035,50,75944,65.83798588
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"George County, Mississippi",28039,19,23373,81.29037779
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Grenada County, Mississippi",28043,20,21578,92.68699601
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Hancock County, Mississippi",28045,39,46420,84.01551056
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Harrison County, Mississippi",28047,140,201410,69.50995482
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Hinds County, Mississippi",28049,95,242891,39.11219436
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Holmes County, Mississippi",28051,19,18340,103.5986914
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Itawamba County, Mississippi",28057,17,23609,72.00643822
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Jackson County, Mississippi",28059,96,141425,67.88050203
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Jasper County, Mississippi",28061,14,16569,84.49514153
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Jones County, Mississippi",28067,48,68215,70.36575533
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lafayette County, Mississippi",28071,28,53154,52.67712684
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lamar County, Mississippi",28073,24,60618,39.59220034
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lauderdale County, Mississippi",28075,35,78524,44.57236004
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lawrence County, Mississippi",28077,10,12622,79.22674695
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lee County, Mississippi",28081,45,85300,52.75498242
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Leflore County, Mississippi",28083,17,30999,54.84047873
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lincoln County, Mississippi",28085,40,34649,115.4434471
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Lowndes County, Mississippi",28087,26,59710,43.54379501
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Madison County, Mississippi",28089,53,103465,51.22505195
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Marion County, Mississippi",28091,17,25563,66.5023667
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Marshall County, Mississippi",28093,32,35916,89.09678138
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Monroe County, Mississippi",28095,29,35827,80.94453903
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Neshoba County, Mississippi",28099,19,29463,64.48766249
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Newton County, Mississippi",28101,16,21747,73.57336644
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Oktibbeha County, Mississippi",28105,16,49800,32.12851406
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Panola County, Mississippi",28107,32,34167,93.65762285
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Pearl River County, Mississippi",28109,39,55191,70.66369517
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Perry County, Mississippi",28111,14,12277,114.0343732
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Pike County, Mississippi",28113,33,39956,82.59084993
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Pontotoc County, Mississippi",28115,11,30908,35.58949139
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Prentiss County, Mississippi",28117,20,25459,78.55768098
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Rankin County, Mississippi",28121,62,149039,41.5998497
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Scott County, Mississippi",28123,14,28265,49.53122236
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Simpson County, Mississippi",28127,21,27222,77.14348689
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Smith County, Mississippi",28129,15,16059,93.40556697
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Stone County, Mississippi",28131,11,18070,60.87437742
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Sunflower County, Mississippi",28133,21,27005,77.76337715
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Tate County, Mississippi",28137,18,28296,63.61323155
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Tippah County, Mississippi",28139,21,22131,94.88952149
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Tishomingo County, Mississippi",28141,29,19552,148.3224223
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Union County, Mississippi",28145,16,28429,56.28055858
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Warren County, Mississippi",28149,45,47485,94.76676845
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Washington County, Mississippi",28151,34,48130,70.64201122
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Wayne County, Mississippi",28153,11,20566,53.48633667
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Webster County, Mississippi",28155,13,9899,131.3263966
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Winston County, Mississippi",28159,19,18317,103.7287765
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Yalobusha County, Mississippi",28161,13,12447,104.4428376
"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,"Yazoo County, Mississippi",28163,23,27387,83.98145105
"Breast, unspecified - Malignant neoplasms",C50.9,"Adams County, Mississippi",28001,14,31254,44.79426633
"Breast, unspecified - Malignant neoplasms",C50.9,"DeSoto County, Mississippi",28033,26,173323,15.00089428
"Breast, unspecified - Malignant neoplasms",C50.9,"Forrest County, Mississippi",28035,14,75944,18.43463605
"Breast, unspecified - Malignant neoplasms",C50.9,"Harrison County, Mississippi",28047,25,201410,12.41249193
"Breast, unspecified - Malignant neoplasms",C50.9,"Hinds County, Mississippi",28049,26,242891,10.70439004
"Breast, unspecified - Malignant neoplasms",C50.9,"Jackson County, Mississippi",28059,19,141425,13.43468269
"Breast, unspecified - Malignant neoplasms",C50.9,"Lauderdale County, Mississippi",28075,10,78524,12.73496001
"Breast, unspecified - Malignant neoplasms",C50.9,"Lowndes County, Mississippi",28087,12,59710,20.09713616
"Breast, unspecified - Malignant neoplasms",C50.9,"Madison County, Mississippi",28089,19,103465,18.36369787
"Breast, unspecified - Malignant neoplasms",C50.9,"Marshall County, Mississippi",28093,11,35916,30.6270186
"Breast, unspecified - Malignant neoplasms",C50.9,"Pearl River County, Mississippi",28109,10,55191,18.1188962
"Breast, unspecified - Malignant neoplasms",C50.9,"Rankin County, Mississippi",28121,11,149039,7.380618496
"Breast, unspecified - Malignant neoplasms",C50.9,"Tishomingo County, Mississippi",28141,10,19552,51.14566285
"Breast, unspecified - Malignant neoplasms",C50.9,"Washington County, Mississippi",28151,10,48130,20.77706212
Malignant neoplasm of prostate,C61,"Copiah County, Mississippi",28029,10,28773,34.75480485
Malignant neoplasm of prostate,C61,"Harrison County, Mississippi",28047,29,201410,14.39849064
Malignant neoplasm of prostate,C61,"Hinds County, Mississippi",28049,25,242891,10.29268273
Malignant neoplasm of prostate,C61,"Jackson County, Mississippi",28059,10,141425,7.070885628
Malignant neoplasm of prostate,C61,"Jones County, Mississippi",28067,10,68215,14.65953236
Malignant neoplasm of prostate,C61,"Lee County, Mississippi",28081,14,85300,16.4126612
"Malignant neoplasm of kidney, except renal pelvis",C64,"Harrison County, Mississippi",28047,15,201410,7.447495159
"Malignant neoplasm of kidney, except renal pelvis",C64,"Hinds County, Mississippi",28049,12,242891,4.940487708
"Malignant neoplasm of kidney, except renal pelvis",C64,"Rankin County, Mississippi",28121,12,149039,8.051583814
"Bladder, unspecified - Malignant neoplasms",C67.9,"Harrison County, Mississippi",28047,10,201410,4.964996773
"Brain, unspecified - Malignant neoplasms",C71.9,"DeSoto County, Mississippi",28033,11,173323,6.346532197
"Brain, unspecified - Malignant neoplasms",C71.9,"Hinds County, Mississippi",28049,10,242891,4.11707309
"Brain, unspecified - Malignant neoplasms",C71.9,"Madison County, Mississippi",28089,12,103465,11.59812497
Malignant neoplasm without specification of site,C80,"DeSoto County, Mississippi",28033,15,173323,8.654362087
Malignant neoplasm without specification of site,C80,"Harrison County, Mississippi",28047,18,201410,8.936994191
Malignant neoplasm without specification of site,C80,"Hinds County, Mississippi",28049,10,242891,4.11707309
Malignant neoplasm without specification of site,C80,"Jackson County, Mississippi",28059,25,141425,17.67721407
Malignant neoplasm without specification of site,C80,"Rankin County, Mississippi",28121,29,149039,19.45799422
Multiple myeloma - Malignant neoplasms,C90.0,"Hinds County, Mississippi",28049,16,242891,6.587316945
"Unspecified diabetes mellitus, with renal complications",E14.2,"Adams County, Mississippi",28001,10,31254,31.99590452
"Unspecified diabetes mellitus, with renal complications",E14.2,"DeSoto County, Mississippi",28033,13,173323,7.500447142
"Unspecified diabetes mellitus, with renal complications",E14.2,"Forrest County, Mississippi",28035,10,75944,13.16759718
"Unspecified diabetes mellitus, with renal complications",E14.2,"Hinds County, Mississippi",28049,21,242891,8.64585349
"Unspecified diabetes mellitus, with renal complications",E14.2,"Jackson County, Mississippi",28059,10,141425,7.070885628
"Unspecified diabetes mellitus, with renal complications",E14.2,"Oktibbeha County, Mississippi",28105,12,49800,24.09638554
"Unspecified diabetes mellitus, with renal complications",E14.2,"Pike County, Mississippi",28113,13,39956,32.53578937
"Unspecified diabetes mellitus, without complications",E14.9,"Adams County, Mississippi",28001,11,31254,35.19549498
"Unspecified diabetes mellitus, without complications",E14.9,"Attala County, Mississippi",28007,13,19043,68.26655464
"Unspecified diabetes mellitus, without complications",E14.9,"Bolivar County, Mississippi",28011,14,33322,42.01428486
"Unspecified diabetes mellitus, without complications",E14.9,"Coahoma County, Mississippi",28027,29,24620,117.7904143
"Unspecified diabetes mellitus, without complications",E14.9,"DeSoto County, Mississippi",28033,62,173323,35.77136329
"Unspecified diabetes mellitus, without complications",E14.9,"Forrest County, Mississippi",28035,17,75944,22.3849152
"Unspecified diabetes mellitus, without complications",E14.9,"George County, Mississippi",28039,11,23373,47.0628503
"Unspecified diabetes mellitus, without complications",E14.9,"Hinds County, Mississippi",28049,27,242891,11.11609734
"Unspecified diabetes mellitus, without complications",E14.9,"Jones County, Mississippi",28067,22,68215,32.25097119
"Unspecified diabetes mellitus, without complications",E14.9,"Leflore County, Mississippi",28083,18,30999,58.06638924
"Unspecified diabetes mellitus, without complications",E14.9,"Madison County, Mississippi",28089,27,103465,26.09578118
"Unspecified diabetes mellitus, without complications",E14.9,"Marshall County, Mississippi",28093,26,35916,72.39113487
"Unspecified diabetes mellitus, without complications",E14.9,"Newton County, Mississippi",28101,13,21747,59.77836023
"Unspecified diabetes mellitus, without complications",E14.9,"Oktibbeha County, Mississippi",28105,13,49800,26.10441767
"Unspecified diabetes mellitus, without complications",E14.9,"Pearl River County, Mississippi",28109,16,55191,28.99023391
"Unspecified diabetes mellitus, without complications",E14.9,"Pike County, Mississippi",28113,36,39956,90.09910902
"Unspecified diabetes mellitus, without complications",E14.9,"Rankin County, Mississippi",28121,20,149039,13.41930636
"Unspecified diabetes mellitus, without complications",E14.9,"Sunflower County, Mississippi",28133,12,27005,44.43621552
"Unspecified diabetes mellitus, without complications",E14.9,"Tate County, Mississippi",28137,10,28296,35.3406842
"Unspecified diabetes mellitus, without complications",E14.9,"Warren County, Mississippi",28149,14,47485,29.48299463
"Unspecified diabetes mellitus, without complications",E14.9,"Washington County, Mississippi",28151,34,48130,70.64201122
"Unspecified diabetes mellitus, without complications",E14.9,"Yazoo County, Mississippi",28163,21,27387,76.67871618
Unspecified dementia,F03,"Adams County, Mississippi",28001,14,31254,44.79426633
Unspecified dementia,F03,"Clay County, Mississippi",28025,16,20048,79.8084597
Unspecified dementia,F03,"DeSoto County, Mississippi",28033,19,173323,10.96219198
Unspecified dementia,F03,"Hancock County, Mississippi",28045,12,46420,25.85092632
Unspecified dementia,F03,"Harrison County, Mississippi",28047,56,201410,27.80398193
Unspecified dementia,F03,"Hinds County, Mississippi",28049,74,242891,30.46634087
Unspecified dementia,F03,"Jackson County, Mississippi",28059,29,141425,20.50556832
Unspecified dementia,F03,"Jones County, Mississippi",28067,10,68215,14.65953236
Unspecified dementia,F03,"Lafayette County, Mississippi",28071,18,53154,33.86386725
Unspecified dementia,F03,"Lauderdale County, Mississippi",28075,45,78524,57.30732006
Unspecified dementia,F03,"Lee County, Mississippi",28081,27,85300,31.65298945
Unspecified dementia,F03,"Lincoln County, Mississippi",28085,13,34649,37.51912032
Unspecified dementia,F03,"Lowndes County, Mississippi",28087,23,59710,38.51951097
Unspecified dementia,F03,"Madison County, Mississippi",28089,36,103465,34.79437491
Unspecified dementia,F03,"Monroe County, Mississippi",28095,10,35827,27.91191001
Unspecified dementia,F03,"Pearl River County, Mississippi",28109,15,55191,27.1783443
Unspecified dementia,F03,"Rankin County, Mississippi",28121,57,149039,38.24502311
Unspecified dementia,F03,"Tippah County, Mississippi",28139,12,22131,54.22258371
Unspecified dementia,F03,"Washington County, Mississippi",28151,33,48130,68.56430501
Unspecified dementia,F03,"Wayne County, Mississippi",28153,10,20566,48.62394243
Parkinson's disease,G20,"DeSoto County, Mississippi",28033,15,173323,8.654362087
Parkinson's disease,G20,"Forrest County, Mississippi",28035,12,75944,15.80111661
Parkinson's disease,G20,"Harrison County, Mississippi",28047,13,201410,6.454495805
Parkinson's disease,G20,"Hinds County, Mississippi",28049,10,242891,4.11707309
Parkinson's disease,G20,"Jackson County, Mississippi",28059,20,141425,14.14177126
Parkinson's disease,G20,"Jones County, Mississippi",28067,11,68215,16.1254856
"Alzheimer's disease, unspecified",G30.9,"Adams County, Mississippi",28001,17,31254,54.39303769
"Alzheimer's disease, unspecified",G30.9,"Alcorn County, Mississippi",28003,14,37388,37.44516957
"Alzheimer's disease, unspecified",G30.9,"Attala County, Mississippi",28007,24,19043,126.0305624
"Alzheimer's disease, unspecified",G30.9,"Bolivar County, Mississippi",28011,13,33322,39.01326451
"Alzheimer's disease, unspecified",G30.9,"Clay County, Mississippi",28025,11,20048,54.86831604
"Alzheimer's disease, unspecified",G30.9,"Copiah County, Mississippi",28029,13,28773,45.18124631
"Alzheimer's disease, unspecified",G30.9,"Covington County, Mississippi",28031,33,19543,168.8584148
"Alzheimer's disease, unspecified",G30.9,"DeSoto County, Mississippi",28033,91,173323,52.50312999
"Alzheimer's disease, unspecified",G30.9,"Forrest County, Mississippi",28035,44,75944,57.93742758
"Alzheimer's disease, unspecified",G30.9,"Greene County, Mississippi",28041,11,13522,81.34891288
"Alzheimer's disease, unspecified",G30.9,"Grenada County, Mississippi",28043,14,21578,64.88089721
"Alzheimer's disease, unspecified",G30.9,"Hancock County, Mississippi",28045,18,46420,38.77638949
"Alzheimer's disease, unspecified",G30.9,"Harrison County, Mississippi",28047,70,201410,34.75497741
"Alzheimer's disease, unspecified",G30.9,"Hinds County, Mississippi",28049,100,242891,41.1707309
"Alzheimer's disease, unspecified",G30.9,"Itawamba County, Mississippi",28057,19,23609,80.4777839
"Alzheimer's disease, unspecified",G30.9,"Jackson County, Mississippi",28059,44,141425,31.11189677
"Alzheimer's disease, unspecified",G30.9,"Jones County, Mississippi",28067,50,68215,73.2976618
"Alzheimer's disease, unspecified",G30.9,"Lafayette County, Mississippi",28071,23,53154,43.27049705
"Alzheimer's disease, unspecified",G30.9,"Lamar County, Mississippi",28073,24,60618,39.59220034
"Alzheimer's disease, unspecified",G30.9,"Lauderdale County, Mississippi",28075,44,78524,56.03382405
"Alzheimer's disease, unspecified",G30.9,"Leake County, Mississippi",28079,14,22763,61.50331679
"Alzheimer's disease, unspecified",G30.9,"Lee County, Mississippi",28081,51,85300,59.78898007
"Alzheimer's disease, unspecified",G30.9,"Leflore County, Mississippi",28083,10,30999,32.25910513
"Alzheimer's disease, unspecified",G30.9,"Lincoln County, Mississippi",28085,19,34649,54.83563739
"Alzheimer's disease, unspecified",G30.9,"Lowndes County, Mississippi",28087,30,59710,50.2428404
"Alzheimer's disease, unspecified",G30.9,"Madison County, Mississippi",28089,60,103465,57.99062485
"Alzheimer's disease, unspecified",G30.9,"Marion County, Mississippi",28091,22,25563,86.06188632
"Alzheimer's disease, unspecified",G30.9,"Marshall County, Mississippi",28093,14,35916,38.97984185
"Alzheimer's disease, unspecified",G30.9,"Monroe County, Mississippi",28095,27,35827,75.36215703
"Alzheimer's disease, unspecified",G30.9,"Neshoba County, Mississippi",28099,30,29463,101.822625
"Alzheimer's disease, unspecified",G30.9,"Newton County, Mississippi",28101,14,21747,64.37669564
"Alzheimer's disease, unspecified",G30.9,"Oktibbeha County, Mississippi",28105,14,49800,28.1124498
"Alzheimer's disease, unspecified",G30.9,"Panola County, Mississippi",28107,17,34167,49.75561214
"Alzheimer's disease, unspecified",G30.9,"Pearl River County, Mississippi",28109,24,55191,43.48535087
"Alzheimer's disease, unspecified",G30.9,"Pike County, Mississippi",28113,13,39956,32.53578937
"Alzheimer's disease, unspecified",G30.9,"Pontotoc County, Mississippi",28115,11,30908,35.58949139
"Alzheimer's disease, unspecified",G30.9,"Prentiss County, Mississippi",28117,21,25459,82.48556503
"Alzheimer's disease, unspecified",G30.9,"Rankin County, Mississippi",28121,17,149039,11.4064104
"Alzheimer's disease, unspecified",G30.9,"Scott County, Mississippi",28123,12,28265,42.45533345
"Alzheimer's disease, unspecified",G30.9,"Tallahatchie County, Mississippi",28135,10,14588,68.54949273
"Alzheimer's disease, unspecified",G30.9,"Tate County, Mississippi",28137,13,28296,45.94288945
"Alzheimer's disease, unspecified",G30.9,"Tishomingo County, Mississippi",28141,13,19552,66.4893617
"Alzheimer's disease, unspecified",G30.9,"Union County, Mississippi",28145,12,28429,42.21041894
"Alzheimer's disease, unspecified",G30.9,"Warren County, Mississippi",28149,31,47485,65.28377382
"Alzheimer's disease, unspecified",G30.9,"Wayne County, Mississippi",28153,13,20566,63.21112516
"Alzheimer's disease, unspecified",G30.9,"Webster County, Mississippi",28155,14,9899,141.4284271
"Alzheimer's disease, unspecified",G30.9,"Yalobusha County, Mississippi",28161,14,12447,112.4769021
"Senile degeneration of brain, not elsewhere classified",G31.1,"Harrison County, Mississippi",28047,12,201410,5.957996127
"Senile degeneration of brain, not elsewhere classified",G31.1,"Hinds County, Mississippi",28049,11,242891,4.528780399
"Anoxic brain damage, not elsewhere classified",G93.1,"Harrison County, Mississippi",28047,10,201410,4.964996773
"Anoxic brain damage, not elsewhere classified",G93.1,"Hinds County, Mississippi",28049,12,242891,4.940487708
Essential (primary) hypertension,I10,"Bolivar County, Mississippi",28011,16,33322,48.01632555
Essential (primary) hypertension,I10,"DeSoto County, Mississippi",28033,25,173323,14.42393681
Essential (primary) hypertension,I10,"Hinds County, Mississippi",28049,32,242891,13.17463389
Essential (primary) hypertension,I10,"Holmes County, Mississippi",28051,10,18340,54.52562704
Essential (primary) hypertension,I10,"Jackson County, Mississippi",28059,10,141425,7.070885628
Essential (primary) hypertension,I10,"Jones County, Mississippi",28067,14,68215,20.52334531
Essential (primary) hypertension,I10,"Lee County, Mississippi",28081,13,85300,15.24032825
Essential (primary) hypertension,I10,"Marshall County, Mississippi",28093,32,35916,89.09678138
Essential (primary) hypertension,I10,"Pike County, Mississippi",28113,23,39956,57.56331965
Essential (primary) hypertension,I10,"Rankin County, Mississippi",28121,21,149039,14.09027167
Essential (primary) hypertension,I10,"Washington County, Mississippi",28151,26,48130,54.02036152
Hypertensive heart disease with (congestive) heart failure,I11.0,"DeSoto County, Mississippi",28033,12,173323,6.92348967
Hypertensive heart disease with (congestive) heart failure,I11.0,"Forrest County, Mississippi",28035,11,75944,14.48435689
Hypertensive heart disease with (congestive) heart failure,I11.0,"George County, Mississippi",28039,12,23373,51.34129123
Hypertensive heart disease with (congestive) heart failure,I11.0,"Harrison County, Mississippi",28047,27,201410,13.40549129
Hypertensive heart disease with (congestive) heart failure,I11.0,"Hinds County, Mississippi",28049,48,242891,19.76195083
Hypertensive heart disease with (congestive) heart failure,I11.0,"Jones County, Mississippi",28067,10,68215,14.65953236
Hypertensive heart disease with (congestive) heart failure,I11.0,"Leflore County, Mississippi",28083,16,30999,51.61456821
Hypertensive heart disease with (congestive) heart failure,I11.0,"Madison County, Mississippi",28089,14,103465,13.5311458
Hypertensive heart disease with (congestive) heart failure,I11.0,"Sunflower County, Mississippi",28133,10,27005,37.0301796
Hypertensive heart disease with (congestive) heart failure,I11.0,"Tate County, Mississippi",28137,16,28296,56.54509471
Hypertensive heart disease with (congestive) heart failure,I11.0,"Warren County, Mississippi",28149,10,47485,21.05928188
Hypertensive heart disease without (congestive) heart failure,I11.9,"Amite County, Mississippi",28005,27,12574,214.7288055
Hypertensive heart disease without (congestive) heart failure,I11.9,"Harrison County, Mississippi",28047,97,201410,48.1604687
Hypertensive heart disease without (congestive) heart failure,I11.9,"Hinds County, Mississippi",28049,75,242891,30.87804818
Hypertensive heart disease without (congestive) heart failure,I11.9,"Jackson County, Mississippi",28059,18,141425,12.72759413
Hypertensive heart disease without (congestive) heart failure,I11.9,"Madison County, Mississippi",28089,17,103465,16.43067704
Hypertensive heart disease without (congestive) heart failure,I11.9,"Panola County, Mississippi",28107,38,34167,111.2184271
