:@computed_region_csmy_5jwy,:@computed_region_f3tr_pr43,:@computed_region_nwen_78xc,address,city,county_name,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,emergency_services,hospital_name,hospital_overall_rating,hospital_overall_rating_footnote,hospital_ownership,hospital_type,location,location_address,location_city,location_state,location_zip,meets_criteria_for_meaningful_use_of_ehrs,mortality_national_comparison,mortality_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,phone_number,phone_number_type,provider_id,readmission_national_comparison,readmission_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,state,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,zip_code
7,989,989,1900 NORTH HIGLEY ROAD,GILBERT,MARICOPA,Same as the national average,,Above the national average,,TRUE,BANNER GATEWAY MEDICAL CENTER,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-111.719634 33.384225),1900 NORTH HIGLEY ROAD,GILBERT,AZ,,TRUE,Same as the national average,,Above the national average,,4806845795,,30122,Below the national average,,Same as the national average,,AZ,Same as the national average,,85234
45,422,422,100 BROWN STREET,CHESTERTOWN,KENT,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.064492 39.216845),100 BROWN STREET,CHESTERTOWN,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4107787668,,210030,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21620
,,,33300 CLEVELAND CLINIC BLVD,AVON,LORAIN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CLEVELAND CLINIC AVON HOSPITAL,Not Available,Results are not available for this reporting period,Voluntary non-profit - Private,Acute Care Hospitals,,33300 CLEVELAND CLINIC BLVD,AVON,OH,,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2166367727,,360364,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,OH,Not Available,Results are not available for this reporting period,44011
40,2810,2810,1500 COMMONWEALTH AVENUE,WILLIAMSBURG,JAMES CITY,Same as the national average,,Same as the national average,,TRUE,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.666875 37.251622),1500 COMMONWEALTH AVENUE,WILLIAMSBURG,VA,,TRUE,Same as the national average,,Above the national average,,7573453000,,490143,Same as the national average,,Same as the national average,,VA,Above the national average,,23185
8,1195,1195,531 W COLLEGE ST,LOS ANGELES,LOS ANGELES,Same as the national average,,Not Available,Results are not available for this reporting period,FALSE,PACIFIC ALLIANCE MEDICAL CENTER,3,,Proprietary,Acute Care Hospitals,POINT (-118.239249 34.064627),531 W COLLEGE ST,LOS ANGELES,CA,,TRUE,Same as the national average,,Below the national average,,2136248411,,50018,Above the national average,,Same as the national average,,CA,Same as the national average,,90012
21,661,661,172 FOURTH STREET SE,HURON,BEADLE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,HURON REGIONAL MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-98.210751 44.362035),172 FOURTH STREET SE,HURON,SD,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,6053536200,,431335,Same as the national average,,Not Available,Results are not available for this reporting period,SD,Not Available,Results are not available for this reporting period,57350
48,2599,2599,2310 HIGHLAND AVENUE,BETHLEHEM,LEHIGH,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,COORDINATED HEALTH ORTHOPEDIC HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Physician,Acute Care Hospitals,POINT (-75.365401 40.673762),2310 HIGHLAND AVENUE,BETHLEHEM,PA,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,6106914300,,390314,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,PA,Not Available,Results are not available for this reporting period,18017
50,1343,1343,401 N HOOPER STREET,CARO,TUSCOLA,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CARO COMMUNITY HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-83.407157 43.493151),401 N HOOPER STREET,CARO,MI,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9896733141,,231329,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MI,Same as the national average,,48723
35,1852,1852,4023 REAS LN,NEW ALBANY,FLOYD,Same as the national average,,Not Available,Results are not available for this reporting period,FALSE,PHYSICIANS' MEDICAL CENTER LLC,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Physician,Acute Care Hospitals,POINT (-85.820819 38.36165),4023 REAS LN,NEW ALBANY,IN,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,8122067660,,150172,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,IN,Not Available,Results are not available for this reporting period,47150
22,1662,1662,401 EAST VAUGHN AVENUE,RUSTON,LINCOLN,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,NORTHERN LOUISIANA MEDICAL CENTER,2,,Proprietary,Acute Care Hospitals,POINT (-92.633902 32.515281),401 EAST VAUGHN AVENUE,RUSTON,LA,,TRUE,Same as the national average,,Below the national average,,3182542100,,190086,Below the national average,,Below the national average,,LA,Same as the national average,,71270
45,1815,1815,7503 SURRATTS ROAD,CLINTON,PRINCE GEORGES,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.874997 38.75025),7503 SURRATTS ROAD,CLINTON,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,3018688000,,210062,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,20735
34,1797,1797,1404 CROSS STREET,SHILOH,SAINT CLAIR,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,METRO-EAST SERVICES INC,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-89.908825 38.574364),1404 CROSS STREET,SHILOH,IL,,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6186071000,,140307,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,IL,Not Available,Results are not available for this reporting period,62269
40,2770,2770,3300 GALLOWS ROAD,FALLS CHURCH,FAIRFAX,Same as the national average,,Above the national average,,TRUE,INOVA FAIRFAX HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-77.225833 38.857674),3300 GALLOWS ROAD,FALLS CHURCH,VA,,TRUE,Same as the national average,,Same as the national average,,7037764001,,490063,Below the national average,,Same as the national average,,VA,Same as the national average,,22042
47,618,618,17 LANSING STREET,AUBURN,CAYUGA,Same as the national average,,Same as the national average,,TRUE,AUBURN  COMMUNITY  HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.564607 42.940761),17 LANSING STREET,AUBURN,NY,,TRUE,Same as the national average,,Below the national average,,3152557011,,330235,Same as the national average,,Same as the national average,,NY,Below the national average,,13021
35,1206,1206,416 E MAUMEE ST,ANGOLA,STEUBEN,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,3,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-84.995521 41.634883),416 E MAUMEE ST,ANGOLA,IN,,TRUE,Same as the national average,,Above the national average,,2606652141,,151315,Same as the national average,,Not Available,Results are not available for this reporting period,IN,Above the national average,,46703
20,708,708,806 STATE HIGHWAY 2 NORTH,WILBURTON,LATIMER,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,LATIMER COUNTY GENERAL HOSPITAL,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-95.319998 34.919909),806 STATE HIGHWAY 2 NORTH,WILBURTON,OK,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9184652391,,370072,Same as the national average,,Not Available,Results are not available for this reporting period,OK,Above the national average,,74578
19,2194,2194,804 22ND AVENUE,KEARNEY,BUFFALO,Same as the national average,,Below the national average,,FALSE,KEARNEY REGIONAL MEDICAL CENTER,3,,Proprietary,Acute Care Hospitals,POINT (-99.0931 40.6975),804 22ND AVENUE,KEARNEY,NE,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,3084553600,,280134,Below the national average,,Same as the national average,,NE,Not Available,Results are not available for this reporting period,68845
50,342,342,168 S HOWELL STREET,HILLSDALE,HILLSDALE,Same as the national average,,Same as the national average,,TRUE,HILLSDALE HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-84.631702 41.911437),168 S HOWELL STREET,HILLSDALE,MI,,TRUE,Same as the national average,,Same as the national average,,5174374451,,230037,Above the national average,,Same as the national average,,MI,Same as the national average,,49242
25,1919,1919,60 HOSPITAL ROAD,LEOMINSTER,WORCESTER,Same as the national average,,Same as the national average,,TRUE,"HEALTHALLIANCE HOSPITALS, INC",3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-71.763033 42.541193),60 HOSPITAL ROAD,LEOMINSTER,MA,,TRUE,Same as the national average,,Same as the national average,,9784662000,,220001,Same as the national average,,Above the national average,,MA,Same as the national average,,1453
45,1857,1857,2434 WEST BELVEDERE AVENUE,BALTIMORE,BALTIMORE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.665024 39.353266),2434 WEST BELVEDERE AVENUE,BALTIMORE,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4106012400,,210064,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21215
23,772,772,2412 50TH ST,LUBBOCK,LUBBOCK,Same as the national average,,Below the national average,,TRUE,GRACE MEDICAL CENTER,4,,Proprietary,Acute Care Hospitals,POINT (-101.869098 33.548786),2412 50TH ST,LUBBOCK,TX,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,8067884100,,450162,Same as the national average,,Same as the national average,,TX,Same as the national average,,79412
,,,27700 MEDICAL CENTER RD,MISSION VIEJO,ORANGE,Same as the national average,,Below the national average,,TRUE,MISSION HOSPITAL REGIONAL MED CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,,TRUE,Same as the national average,,Below the national average,,9493641400,,50567,Above the national average,,Below the national average,,CA,Below the national average,,92691
24,1042,1042,540 LITCHFIELD ST,TORRINGTON,LITCHFIELD,Same as the national average,,Same as the national average,,TRUE,CHARLOTTE HUNGERFORD HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-73.133143 41.790846),540 LITCHFIELD ST,TORRINGTON,CT,,TRUE,Below the national average,,Below the national average,,8604966666,,70011,Same as the national average,,Above the national average,,CT,Below the national average,,6790
45,1814,1814,8600 OLD GEORGETOWN ROAD,BETHESDA,MONTGOMERY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,SUBURBAN HOSPITAL,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-77.10922 38.997251),8600 OLD GEORGETOWN ROAD,BETHESDA,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,3018962576,,210022,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,20814
22,1740,1740,1001 GAUSE BLVD,SLIDELL,SAINT TAMMANY,Same as the national average,,Below the national average,,TRUE,SLIDELL MEMORIAL HOSPITAL,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-89.770421 30.284651),1001 GAUSE BLVD,SLIDELL,LA,,TRUE,Same as the national average,,Above the national average,,9856432200,,190040,Same as the national average,,Same as the national average,,LA,Above the national average,,70458
39,682,682,2835 HWY 231 N,SHELBYVILLE,BEDFORD,Same as the national average,,Same as the national average,,TRUE,TENNOVA HEALTHCARE-SHELBYVILLE,1,,Proprietary,Acute Care Hospitals,POINT (-86.446372 35.563218),2835 HWY 231 N,SHELBYVILLE,TN,,TRUE,Same as the national average,,Below the national average,,9316855433,,440137,Below the national average,,Below the national average,,TN,Same as the national average,,37160
33,654,654,830 SOUTH BUNCOMBE ROAD,GREER,GREENVILLE,Same as the national average,,Same as the national average,,TRUE,GHS GREER MEMORIAL HOSPITAL,5,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-82.242031 34.91931),830 SOUTH BUNCOMBE ROAD,GREER,SC,,TRUE,Same as the national average,,Above the national average,,8648488200,,420033,Above the national average,,Above the national average,,SC,Same as the national average,,29650
23,770,770,1353 N TRAVIS ST,LIBERTY,LIBERTY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,LIBERTY DAYTON REGIONAL MEDICAL CENTER,Not Available,Results are not available for this reporting period,Proprietary,Critical Access Hospitals,POINT (-94.797888 30.068515),1353 N TRAVIS ST,LIBERTY,TX,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9363367316,,451375,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TX,Not Available,Results are not available for this reporting period,77575
46,2492,2492,97 WEST PARKWAY,POMPTON PLAINS,MORRIS,Same as the national average,,Below the national average,,TRUE,CHILTON MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-74.307835 40.958586),97 WEST PARKWAY,POMPTON PLAINS,NJ,,TRUE,Same as the national average,,Below the national average,,9738315000,,310017,Below the national average,,Below the national average,,NJ,Below the national average,,7444
,,,"P O BOX 193, 1900 F STREET",GENEVA,FILLMORE,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,FILLMORE COUNTY HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Local,Critical Access Hospitals,,"P O BOX 193, 1900 F STREET",GENEVA,NE,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4027593167,,281301,Same as the national average,,Not Available,Results are not available for this reporting period,NE,Not Available,Results are not available for this reporting period,68361
12,723,723,525 SE WASHINGTON STREET,DALLAS,POLK,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,SALEM HEALTH WEST VALLEY,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-123.310687 44.919407),525 SE WASHINGTON STREET,DALLAS,OR,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5036238301,,381308,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,OR,Not Available,Results are not available for this reporting period,97338
23,772,772,4810 NORTH LOOP 289,LUBBOCK,LUBBOCK,Same as the national average,,Same as the national average,,TRUE,LUBBOCK HEART HOSPITAL LP,4,,Proprietary,Acute Care Hospitals,POINT (-101.914287 33.602527),4810 NORTH LOOP 289,LUBBOCK,TX,,TRUE,Same as the national average,,Above the national average,,8066877777,,450876,Same as the national average,,Same as the national average,,TX,Above the national average,,79416
17,1291,1291,3333 NORTH WEBB ROAD,WICHITA,SEDGWICK,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Physician,Acute Care Hospitals,POINT (-97.226326 37.743966),3333 NORTH WEBB ROAD,WICHITA,KS,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,3164625326,,170196,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,KS,Not Available,Results are not available for this reporting period,67226
38,2471,2471,230 MEDICAL CENTER DRIVE,SEAMAN,ADAMS,Not Available,Results are not available for this reporting period,Same as the national average,,TRUE,ADAMS COUNTY REGIONAL MEDICAL CENTER,3,,Government - Local,Critical Access Hospitals,POINT (-83.585634 38.933869),230 MEDICAL CENTER DRIVE,SEAMAN,OH,,TRUE,Same as the national average,,Below the national average,,9373863400,,361326,Same as the national average,,Not Available,Results are not available for this reporting period,OH,Not Available,Results are not available for this reporting period,45679
42,2898,2898,1 AMALIA DRIVE,BUCKHANNON,UPSHUR,Same as the national average,,Below the national average,,TRUE,ST JOSEPH'S HOSPITAL,3,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-80.236824 38.991275),1 AMALIA DRIVE,BUCKHANNON,WV,,TRUE,Same as the national average,,Same as the national average,,3044722000,,511321,Same as the national average,,Not Available,Results are not available for this reporting period,WV,Above the national average,,26201
8,1195,1195,1300 W 7TH ST,SAN PEDRO,LOS ANGELES,Same as the national average,,Same as the national average,,TRUE,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-118.305005 33.737928),1300 W 7TH ST,SAN PEDRO,CA,,TRUE,Same as the national average,,Same as the national average,,3108323311,,50078,Same as the national average,,Same as the national average,,CA,Below the national average,,90732
22,1742,1742,1978 INDUSTRIAL BLVD,HOUMA,TERREBONNE,Same as the national average,,Same as the national average,,TRUE,LEONARD J CHABERT MEDICAL CENTER,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-90.687625 29.571318),1978 INDUSTRIAL BLVD,HOUMA,LA,,TRUE,Same as the national average,,Above the national average,,9858732200,,190183,Same as the national average,,Same as the national average,,LA,Same as the national average,,70363
37,2432,2432,2520 TROY DRIVE,WILMINGTON,NEW HANOVER,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,FALSE,WILMINGTON TREATMENT CENTER,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-77.928549 34.1949),2520 TROY DRIVE,WILMINGTON,NC,,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,9197622727,,340168,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,NC,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,28401
23,3110,3110,1100 ALLIED DRIVE,PLANO,COLLIN,Same as the national average,,Same as the national average,,TRUE,THE HEART HOSPITAL BAYLOR PLANO,5,,Proprietary,Acute Care Hospitals,POINT (-96.79012 33.015252),1100 ALLIED DRIVE,PLANO,TX,,TRUE,Same as the national average,,Above the national average,,4698143278,,670025,Above the national average,,Not Available,Results are not available for this reporting period,TX,Same as the national average,,75093
5,216,216,700 SOUTH MAIN STREET,MOSCOW,LATAH,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,GRITMAN MEDICAL CENTER,4,This hospitals star rating only includes data reported on inpatient services,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-117.001406 46.728704),700 SOUTH MAIN STREET,MOSCOW,ID,,TRUE,Same as the national average,,Above the national average,,2088824511,,131327,Same as the national average,,Not Available,Results are not available for this reporting period,ID,Not Available,Results are not available for this reporting period,83843
22,1661,1661,4608 HIGHWAY 1,RACELAND,LAFOURCHE,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,OCHSNER ST ANNE GENERAL HOSPITAL,4,,Voluntary non-profit - Other,Critical Access Hospitals,POINT (-90.564133 29.703447),4608 HIGHWAY 1,RACELAND,LA,,TRUE,Same as the national average,,Above the national average,,9855378377,,191324,Same as the national average,,Not Available,Results are not available for this reporting period,LA,Above the national average,,70394
23,2024,2024,1313 HERMANN DR,HOUSTON,HARRIS,Same as the national average,,Same as the national average,,TRUE,PARK PLAZA HOSPITAL,4,,Proprietary,Acute Care Hospitals,POINT (-95.388047 29.722376),1313 HERMANN DR,HOUSTON,TX,,TRUE,Same as the national average,,Below the national average,,7135275019,,450659,Above the national average,,Above the national average,,TX,Same as the national average,,77004
8,1169,1169,333 MERCY AVENUE,MERCED,MERCED,Same as the national average,,Same as the national average,,TRUE,MERCY MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-120.465214 37.340122),333 MERCY AVENUE,MERCED,CA,,TRUE,Same as the national average,,Below the national average,,2095645000,,50444,Below the national average,,Same as the national average,,CA,Below the national average,,95340
14,891,891,1233 EAST 2ND ST,CASPER,NATRONA,Same as the national average,,Above the national average,,TRUE,WYOMING MEDICAL CENTER,3,,Government - Local,Acute Care Hospitals,POINT (-106.308753 42.848718),1233 EAST 2ND ST,CASPER,WY,,TRUE,Below the national average,,Below the national average,,3075777201,,530012,Same as the national average,,Same as the national average,,WY,Same as the national average,,82601
